epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,138.032,3.83294,3.96869,4.05684,3.66472,0,0.00097,0.02198,7e-05,1e-05,0.22876,0.25752,0.10476,0.02117,4.41554,2.08448,2.6386,1.70816,0,3.32623e-05,3.32623e-05,0.066771
2,268.024,3.20831,3.4631,3.0828,2.92964,0,0.00975,0.03297,0.00061,6e-05,0.27092,0.26374,0.16072,0.03695,4.21521,1.69262,2.50328,1.30086,0,6.65305e-05,6.65305e-05,0.0334709
3,399.879,3.17001,3.43142,2.99672,2.75276,0,0.01807,0.01099,0.00083,9e-05,0.27654,0.26374,0.17924,0.04232,4.14233,1.6281,2.46759,1.14663,0,9.95389e-05,9.95389e-05,0.000170612
4,531.112,3.14714,3.2266,2.93451,2.73132,0,0.01123,0.02198,0.00751,0.00076,0.30672,0.24176,0.20688,0.04969,4.05646,1.51359,2.46629,1.02347,0,9.91232e-05,9.91232e-05,9.91232e-05
5,662.858,3.10721,3.25151,2.84679,2.70036,0,0.0286,0.05495,0.01293,0.0013,0.29574,0.26768,0.22859,0.05339,4.01395,1.43867,2.42089,0.94881,0,9.84449e-05,9.84449e-05,9.84449e-05
6,794.148,2.99301,3.29722,2.77049,2.65156,0,0.0062,0.28571,0.0105,0.00106,0.32101,0.27473,0.23912,0.05388,4.01315,1.41525,2.44387,0.92931,0,9.75773e-05,9.75773e-05,9.75773e-05
7,925.24,2.93222,3.25186,2.73419,2.545,0,0.00406,0.1978,0.00378,0.00038,0.31527,0.30769,0.23693,0.0598,3.99147,1.36677,2.40637,0.87575,0,9.65239e-05,9.65239e-05,9.65239e-05
8,1056.32,3.04165,3.21565,2.86758,2.65036,0,0.00618,0.2967,0.00995,0.001,0.30561,0.30769,0.24423,0.06074,3.97175,1.29126,2.40925,0.85047,0,9.52889e-05,9.52889e-05,9.52889e-05
9,1187.9,2.93372,3.17371,2.75746,2.64337,0,0.00549,0.2967,0.00708,0.00072,0.28302,0.34705,0.26452,0.06958,3.9436,1.28519,2.30412,0.81046,0,9.38772e-05,9.38772e-05,9.38772e-05
10,1318.68,2.92155,3.14694,2.76714,2.48548,0,0.04,0.20879,0.0129,0.0013,0.38475,0.31868,0.30097,0.07799,3.93975,1.26894,2.32914,0.8187,0,9.22942e-05,9.22942e-05,9.22942e-05
11,1449.56,2.98629,3.10618,2.84659,2.58029,0,0.0567,0.06593,0.02812,0.00282,0.35202,0.35222,0.33388,0.08856,3.89737,1.22334,2.30696,0.75659,0,9.05463e-05,9.05463e-05,9.05463e-05
12,1580.42,2.88714,3.07732,2.7004,2.56633,0,0.03092,0.03191,0.01784,0.00179,0.36261,0.30769,0.3078,0.08302,3.91259,1.2347,2.33964,0.75396,0,8.86404e-05,8.86404e-05,8.86404e-05
13,1710.93,2.89631,3.04983,2.76065,2.44233,0,0.01569,0.02198,0.01094,0.0011,0.3483,0.38462,0.31723,0.08919,3.91716,1.15712,2.26328,0.76204,0,8.65839e-05,8.65839e-05,8.65839e-05
14,1841.48,2.90991,3.11965,2.71129,2.42847,0,0.01566,0.02198,0.00927,0.00094,0.37175,0.37716,0.35061,0.09688,3.92651,1.17031,2.26532,0.76582,0,8.43851e-05,8.43851e-05,8.43851e-05
15,1972.08,2.8838,3.08759,2.73696,2.54837,0,0.04921,0.08791,0.01346,0.00136,0.37528,0.3697,0.35916,0.1041,3.93589,1.21396,2.2533,0.76382,0,8.20525e-05,8.20525e-05,8.20525e-05
16,2102.78,2.74845,3.02787,2.56217,2.37028,0,0.11257,0.10989,0.0576,0.00577,0.4055,0.34066,0.38366,0.11876,3.83249,1.14419,2.25496,0.677,0,7.95954e-05,7.95954e-05,7.95954e-05
17,2233.72,2.83192,3.06539,2.63428,2.54403,0,0.0414,0.04396,0.02364,0.00238,0.3642,0.32967,0.33285,0.0988,3.958,1.17238,2.29297,0.77688,0,7.70234e-05,7.70234e-05,7.70234e-05
18,2364.37,2.78183,2.93197,2.60812,2.43438,0,0.09521,0.17582,0.02853,0.00286,0.36146,0.49766,0.37374,0.11838,3.93403,1.15927,2.15895,0.77879,0,7.43468e-05,7.43468e-05,7.43468e-05
19,2495.21,2.77778,2.89435,2.62858,2.40252,0,0.11089,0.14286,0.03699,0.00371,0.35247,0.36264,0.39464,0.12575,3.88761,1.11774,2.18614,0.73087,0,7.15761e-05,7.15761e-05,7.15761e-05
20,2626.12,2.82125,2.97124,2.59451,2.37474,0,0.18132,0.24176,0.10599,0.01061,0.40351,0.46154,0.4487,0.15238,3.82043,1.11862,2.10391,0.67663,0,6.87222e-05,6.87222e-05,6.87222e-05
21,2756.95,2.78079,3.015,2.52891,2.39738,0,0.14946,0.20879,0.07032,0.00706,0.40139,0.40659,0.41429,0.13918,3.85441,1.09457,2.12785,0.71716,0,6.57963e-05,6.57963e-05,6.57963e-05
22,2887.63,2.86209,2.93455,2.59659,2.42969,0,0.13776,0.16484,0.05545,0.00556,0.3977,0.40634,0.42725,0.1453,3.87473,1.08743,2.13954,0.72889,0,6.28101e-05,6.28101e-05,6.28101e-05
23,3018.43,2.82774,2.9842,2.54204,2.42861,0,0.11999,0.16484,0.04646,0.00466,0.38234,0.37363,0.42676,0.14544,3.89994,1.10067,2.13556,0.75548,0,5.97754e-05,5.97754e-05,5.97754e-05
24,3149.25,2.78785,3.00897,2.46499,2.29044,0,0.16319,0.21978,0.08391,0.00842,0.40602,0.43956,0.44821,0.15591,3.8741,1.12698,2.12493,0.72911,0,5.6704e-05,5.6704e-05,5.6704e-05
25,3280.14,2.78671,2.95658,2.55502,2.42884,0,0.19162,0.23077,0.10902,0.01093,0.42253,0.42857,0.44439,0.16485,3.8182,1.05167,2.07431,0.69185,0,5.36081e-05,5.36081e-05,5.36081e-05
26,3411.07,2.84548,3.01133,2.48711,2.34781,0,0.13037,0.18681,0.06779,0.00681,0.4077,0.41758,0.45625,0.16186,3.88705,1.07953,2.09479,0.74877,0,5.05e-05,5.05e-05,5.05e-05
27,3542.06,2.79293,2.96719,2.51066,2.41393,0,0.18172,0.24176,0.10368,0.01041,0.3926,0.42857,0.42834,0.15328,3.86089,1.08228,2.07365,0.73678,0,4.73919e-05,4.73919e-05,4.73919e-05
28,3673.44,2.83662,3.04084,2.56829,2.45626,0,0.0949,0.13187,0.05145,0.00517,0.43123,0.41758,0.43547,0.14863,3.94433,1.08415,2.11476,0.78754,0,4.4296e-05,4.4296e-05,4.4296e-05
29,3804.96,2.86202,2.89463,2.56601,2.42795,0,0.17854,0.27473,0.13646,0.01367,0.38153,0.49488,0.4856,0.17338,3.84274,1.05842,2.01794,0.71539,0,4.12246e-05,4.12246e-05,4.12246e-05
30,3936.32,2.82813,2.96675,2.50333,2.37077,0,0.17045,0.27473,0.11836,0.01187,0.40297,0.47472,0.49832,0.18458,3.84982,1.03071,2.01423,0.72515,0,3.81899e-05,3.81899e-05,3.81899e-05
31,4067.77,2.78024,2.91477,2.51505,2.42525,0,0.16684,0.25275,0.12644,0.01267,0.40206,0.51648,0.49761,0.18156,3.86905,1.0386,2.01609,0.73698,0,3.52037e-05,3.52037e-05,3.52037e-05
32,4199.24,2.8405,2.87266,2.56031,2.38803,0,0.13144,0.20879,0.05507,0.00552,0.41994,0.43956,0.46726,0.16311,3.91141,1.08443,2.04466,0.78557,0,3.22778e-05,3.22778e-05,3.22778e-05
33,4330.49,2.81844,2.90845,2.53916,2.46222,0,0.17148,0.26374,0.11888,0.01193,0.44198,0.47253,0.51208,0.18397,3.86226,1.04405,2.01223,0.73448,0,2.94239e-05,2.94239e-05,2.94239e-05
34,4461.25,2.7752,2.82156,2.51171,2.37185,0,0.19881,0.27473,0.13234,0.01326,0.45438,0.50549,0.52123,0.19146,3.8529,1.04659,2.02382,0.72289,0,2.66532e-05,2.66532e-05,2.66532e-05
35,4592.12,2.85837,2.9245,2.54941,2.4085,0,0.18075,0.27473,0.12622,0.01266,0.44359,0.47308,0.50148,0.17699,3.86741,1.05496,2.02756,0.74994,0,2.39766e-05,2.39766e-05,2.39766e-05
36,4722.75,2.87623,2.98485,2.55276,2.40277,0,0.17885,0.25275,0.10186,0.01022,0.43735,0.43567,0.5104,0.17647,3.88792,1.02812,2.03199,0.76639,0,2.14046e-05,2.14046e-05,2.14046e-05
37,4853.47,2.88834,2.90714,2.58527,2.43902,0,0.14894,0.24176,0.10749,0.01078,0.44551,0.45055,0.53571,0.18839,3.86703,1.02431,1.99852,0.73551,0,1.89475e-05,1.89475e-05,1.89475e-05
38,4985.52,2.84046,2.81801,2.47168,2.36204,0,0.15616,0.24176,0.09414,0.00943,0.43505,0.48352,0.51006,0.18012,3.90283,1.05823,2.03376,0.77633,0,1.66149e-05,1.66149e-05,1.66149e-05
39,5117.12,2.84298,2.89057,2.55841,2.36418,0,0.12921,0.20879,0.05289,0.0053,0.4691,0.46154,0.52786,0.17951,3.92402,1.03039,2.026,0.79005,0,1.44161e-05,1.44161e-05,1.44161e-05
40,5247.98,2.86941,2.97474,2.51467,2.45339,0,0.18429,0.26374,0.09219,0.00924,0.44007,0.46154,0.52828,0.18744,3.8761,1.03009,2.01231,0.74608,0,1.23596e-05,1.23596e-05,1.23596e-05
41,5379.42,2.817,2.85463,2.52988,2.43455,0,0.19446,0.27473,0.10669,0.01071,0.4403,0.4582,0.49434,0.17435,3.89725,1.04682,2.03527,0.77761,0,1.04537e-05,1.04537e-05,1.04537e-05
42,5509.87,2.82732,2.99167,2.45692,2.36827,0,0.19267,0.27473,0.13452,0.01348,0.42944,0.51648,0.52819,0.18568,3.8627,1.02434,2.00912,0.74052,0,8.70577e-06,8.70577e-06,8.70577e-06
43,5640.36,2.74947,2.93585,2.48763,2.39758,0,0.19668,0.28571,0.13756,0.01379,0.4317,0.48352,0.50181,0.17957,3.87045,1.02096,2.00993,0.74676,0,7.12282e-06,7.12282e-06,7.12282e-06
44,5770.64,2.86914,2.88697,2.45447,2.37604,0,0.19749,0.27473,0.11861,0.01189,0.43635,0.47253,0.52571,0.18658,3.87848,1.03556,2.02615,0.75342,0,5.71106e-06,5.71106e-06,5.71106e-06
45,5900.85,2.86013,2.91633,2.53668,2.52413,0,0.18858,0.28571,0.13217,0.01325,0.41661,0.53846,0.52622,0.18612,3.86514,1.04383,1.99601,0.74167,0,4.47606e-06,4.47606e-06,4.47606e-06
46,6031.36,2.79597,2.83994,2.5721,2.40236,0,0.20244,0.28571,0.12681,0.0127,0.40238,0.52747,0.50045,0.1868,3.8678,1.033,1.97798,0.744,0,3.4227e-06,3.4227e-06,3.4227e-06
47,6162.16,2.88617,2.87099,2.48374,2.3642,0,0.21298,0.2967,0.14096,0.01413,0.44206,0.47889,0.5306,0.18943,3.87078,1.04085,1.99833,0.74471,0,2.55513e-06,2.55513e-06,2.55513e-06
48,6293.02,2.85024,2.93628,2.50039,2.45909,0,0.18806,0.27473,0.12729,0.01275,0.45226,0.49451,0.52127,0.19067,3.87227,1.04089,1.9912,0.7482,0,1.87678e-06,1.87678e-06,1.87678e-06
49,6424.44,2.9504,2.91876,2.61999,2.47751,0,0.17961,0.26374,0.10919,0.01094,0.40595,0.45055,0.48991,0.17645,3.87351,1.03365,1.99154,0.7668,0,1.39032e-06,1.39032e-06,1.39032e-06
