epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4124,2.75428,4.31903,4.73969,3.83816,0,0.6896,0.49451,0.53497,0.2195,0.63997,0.49451,0.53262,0.20191,2.11545,2.22713,1.73496,3.23566,0,3.31915e-05,3.31915e-05,0.0668417
2,68.5173,2.328,3.74844,3.36556,3.42378,0,0.63192,0.62637,0.64686,0.26952,0.58382,0.5858,0.58374,0.20866,2.02638,1.97006,1.5207,3.13241,0,6.63444e-05,6.63444e-05,0.0335415
3,100.37,2.20352,3.6262,2.74348,3.31635,0,0.61048,0.72338,0.69524,0.29375,0.59194,0.7014,0.65455,0.27921,1.88649,1.93924,1.34122,2.97292,0,9.8778e-05,9.8778e-05,0.000240622
4,132.29,2.07351,3.49084,2.5967,3.12081,0,0.69875,0.65934,0.7215,0.32351,0.61904,0.71429,0.73775,0.32414,1.82978,1.8489,1.26207,2.92361,0,9.75773e-05,9.75773e-05,9.75773e-05
5,164.162,2.02192,3.56216,2.46984,3.05991,0,0.68539,0.72527,0.75669,0.34281,0.64253,0.79121,0.78154,0.36444,1.74395,1.78554,1.22665,2.80157,0,9.57205e-05,9.57205e-05,9.57205e-05
6,195.925,2.04632,3.5082,2.47315,3.11061,0,0.71454,0.75824,0.78667,0.33728,0.68823,0.76923,0.80353,0.37642,1.77977,1.77395,1.22184,2.8554,0,9.33683e-05,9.33683e-05,9.33683e-05
7,227.742,1.98976,3.51802,2.24454,3.04171,0,0.70817,0.74725,0.77275,0.33058,0.70538,0.7893,0.79535,0.38313,1.85008,1.7949,1.23381,2.91919,0,9.05463e-05,9.05463e-05,9.05463e-05
8,259.526,1.97209,3.42469,2.2871,2.95865,0,0.71185,0.75824,0.78867,0.33159,0.73305,0.81476,0.80835,0.38639,1.77109,1.72515,1.21883,2.8094,0,8.72857e-05,8.72857e-05,8.72857e-05
9,291.294,2.01004,3.49655,2.38142,3.05961,0,0.75161,0.72527,0.82465,0.35964,0.74763,0.78022,0.84335,0.42169,1.72314,1.69568,1.19725,2.70967,0,8.3622e-05,8.3622e-05,8.3622e-05
10,323.083,1.88161,3.37673,2.23045,2.87479,0,0.73528,0.74725,0.81796,0.37196,0.77853,0.79121,0.86591,0.46882,1.71455,1.64593,1.19225,2.70138,0,7.95954e-05,7.95954e-05,7.95954e-05
11,355.031,1.92605,3.33993,2.12874,2.98448,0,0.77945,0.74725,0.83658,0.3742,0.82263,0.76452,0.87179,0.47934,1.67144,1.61695,1.17794,2.64981,0,7.525e-05,7.525e-05,7.525e-05
12,386.871,1.92998,3.29957,2.16542,2.94683,0,0.73273,0.78022,0.84316,0.39448,0.74937,0.8022,0.8916,0.48987,1.62373,1.62293,1.17459,2.58266,0,7.06335e-05,7.06335e-05,7.06335e-05
