epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9895,2.5731,4.91224,4.63522,3.05104,0,0,0,0,0,0.00213,0.02198,0.0004,6e-05,5.1753,4.63003,5.46092,4.43647,0,3.31915e-05,3.31915e-05,0.0668417
2,68.0685,2.44637,4.2873,4.19199,2.97085,0,7e-05,0.02198,1e-05,0,0.03652,0.08791,0.00616,0.00161,4.88101,3.79233,4.22527,4.59648,0,6.63444e-05,6.63444e-05,0.0335415
3,100.009,2.23569,3.90978,3.67109,2.88414,0,0.00528,0.02198,0.0006,0.00012,0.00528,0.02198,0.00101,0.00014,4.92106,3.556,4.37446,4.60659,0,9.8778e-05,9.8778e-05,0.000240622
4,131.743,1.86141,3.60641,3.18644,2.57467,0,0.09825,0.07692,0.02667,0.00407,0.24787,0.12088,0.0802,0.0199,4.30055,3.53347,3.70196,4.64219,0,9.75773e-05,9.75773e-05,9.75773e-05
5,163.504,1.70311,3.52161,2.77445,2.4303,0,0.73942,0.56044,0.62704,0.34044,0.70891,0.59341,0.66082,0.24,1.83789,2.37549,1.79036,2.34228,0,9.57205e-05,9.57205e-05,9.57205e-05
6,195.346,1.68161,3.30956,2.77775,2.37487,0,0.7559,0.51648,0.60225,0.35281,0.62694,0.41758,0.44725,0.13183,1.75384,2.20427,1.93888,2.27122,0,9.33683e-05,9.33683e-05,9.33683e-05
7,227.329,1.58613,3.16491,2.57352,2.28247,0,0.82077,0.75489,0.80065,0.55065,0.79534,0.72598,0.78851,0.39062,1.26135,1.71506,1.51708,1.80049,0,9.05463e-05,9.05463e-05,9.05463e-05
8,259.319,1.5384,3.06716,2.32607,2.25078,0,0.78492,0.80207,0.85702,0.65638,0.79241,0.83898,0.87957,0.64115,0.81377,1.20945,1.40482,1.39656,0,8.72857e-05,8.72857e-05,8.72857e-05
9,291.347,1.63205,2.98803,2.47283,2.31357,0,0.87013,0.88354,0.95724,0.76917,0.88109,0.89574,0.96193,0.74829,0.73548,1.22924,1.21295,1.29885,0,8.3622e-05,8.3622e-05,8.3622e-05
10,323.29,1.52543,2.97196,2.22877,2.20903,0,0.87446,0.92308,0.9444,0.7726,0.85734,0.92308,0.95352,0.69427,0.72078,1.17227,1.186,1.30903,0,7.95954e-05,7.95954e-05,7.95954e-05
11,355.189,1.52489,2.84414,2.12197,2.20029,0,0.91028,0.96703,0.97905,0.80896,0.91028,0.96703,0.97905,0.72347,0.66488,1.10941,1.13488,1.22387,0,7.525e-05,7.525e-05,7.525e-05
